T_3,R245ca,R236ea,R236fa,R134a,R227ea
71.8178,9.1268,8.7698,8.6597,8.5256,8.1063
71.8832,9.1376,8.7789,8.6606,8.5287,8.1128
72.0794,9.17,8.804,8.6645,8.5384,8.1324
72.1121,9.1754,8.8069,8.6654,8.5402,8.1356
72.243,9.197,8.8245,8.6707,8.5478,8.1486
72.5047,9.2401,8.861,8.6902,8.5664,8.1747
72.6028,9.2562,8.8748,8.701,8.5746,8.1845
72.7009,9.2723,8.8885,8.7133,8.5836,8.1945
72.7991,9.2884,8.9021,8.7268,8.5931,8.2047
72.8318,9.2937,8.9066,8.7314,8.5963,8.208
72.9953,9.3202,8.9271,8.7554,8.6136,8.2244
73.257,9.3618,8.9637,8.7928,8.6442,8.2505
73.2897,9.3669,8.9683,8.7971,8.6483,8.2538
73.4206,9.3868,8.9867,8.813,8.6653,8.2665
73.5187,9.4013,9.0003,8.824,8.6786,8.2787
73.5841,9.4107,9.0092,8.831,8.6876,8.2867
73.7477,9.4332,9.0297,8.8485,8.7103,8.3062
73.9766,9.4628,9.0657,8.8748,8.7407,8.3329
74.0748,9.4752,9.0811,8.8872,8.7527,8.3441
74.1402,9.4834,9.087,8.8957,8.7605,8.3515
74.1729,9.4875,9.0913,8.9001,8.7642,8.3551
74.2056,9.4917,9.0957,8.9045,8.768,8.3587
74.729,9.5616,9.1696,8.9774,8.8226,8.4135
74.8271,9.5758,9.1837,8.9896,8.8322,8.4236
74.9252,9.5903,9.1939,8.9998,8.8416,8.4338
74.9907,9.6002,9.2014,9.0068,8.8479,8.4407
75.0888,9.6151,9.2131,9.0184,8.8573,8.4513
75.4486,9.6698,9.2581,9.066,8.8943,8.4917
75.5794,9.6887,9.276,9.084,8.9094,8.5069
75.6776,9.702,9.2966,9.0977,8.9212,8.5187
75.7103,9.7063,9.2994,9.1023,8.9252,8.5227
75.8411,9.7226,9.3099,9.121,8.9412,8.54
75.8738,9.7267,9.3125,9.1258,8.9453,8.5432
76.0701,9.7516,9.3272,9.1545,8.9688,8.5623
76.1028,9.756,9.3295,9.1584,8.9726,8.5655
76.1355,9.7605,9.3527,9.1621,8.9764,8.5686
76.6262,9.8338,9.4188,9.2153,9.0291,8.6149
76.7897,9.8587,9.4402,9.2332,9.047,8.6299
76.8551,9.8686,9.4401,9.2404,9.0545,8.6359
76.8879,9.8734,9.4442,9.2441,9.0584,8.6389
77.3785,9.9432,9.51,9.3012,9.1197,8.6866
77.5421,9.9658,9.5341,9.3223,9.1396,8.7043
77.6075,9.9749,9.5427,9.3315,9.1471,8.7115
77.6402,9.9795,9.5469,9.3364,9.1507,8.7152
77.9346,10.0209,9.5838,9.3877,9.179,8.7498
78,10.03,9.592,9.3951,9.1846,8.7583
78.0981,10.0435,9.6005,9.4051,9.1927,8.767
78.1308,10.0479,9.6043,9.4083,9.1955,8.77
78.229,10.0612,9.6229,9.4177,9.2036,8.7789
78.3271,10.0744,9.6358,9.4271,9.2121,8.7879
78.6542,10.1186,9.6735,9.4594,9.2429,8.8179
78.785,10.1367,9.6888,9.4737,9.2565,8.83
78.8505,10.1459,9.6925,9.4811,9.2635,8.8363
78.8832,10.1505,9.6966,9.4849,9.2671,8.8394
78.9486,10.16,9.7115,9.4927,9.2745,8.8457
79.1121,10.1841,9.7348,9.513,9.294,8.8613
79.4065,10.2286,9.7673,9.5517,9.3327,8.8893
79.5374,10.2483,9.7817,9.5696,9.3502,8.9016
79.5701,10.2532,9.7853,9.574,9.3545,8.9049
79.6028,10.2581,9.7889,9.5785,9.3588,8.9082
79.8318,10.2909,9.8185,9.6102,9.3863,8.931
79.9299,10.3045,9.8306,9.6236,9.3964,8.9408
80.0935,10.3266,9.8504,9.6392,9.4112,8.957
80.1589,10.3353,9.8582,9.6455,9.4166,8.9635
80.257,10.3483,9.8695,9.6548,9.4245,8.9733
80.5514,10.3865,9.9017,9.6828,9.4477,9.0014
80.6822,10.4031,9.9215,9.6952,9.4589,9.014
80.8458,10.4236,9.9427,9.7129,9.4737,9.0296
80.8785,10.4276,9.9467,9.7165,9.4768,9.0327
81.0093,10.4437,9.9619,9.7307,9.4894,9.045
81.3037,10.4795,9.994,9.7628,9.5194,9.0756
81.4346,10.4954,10.0106,9.7772,9.5333,9.0892
81.6308,10.5199,10.035,9.8048,9.5543,9.1096
81.7944,10.5415,10.0555,9.8285,9.5715,9.127
81.9252,10.5597,10.0719,9.8491,9.5848,9.1377
81.9907,10.5689,10.0801,9.8543,9.5911,9.1432
82.1215,10.5872,10.0966,9.8654,9.6032,9.1544
82.1542,10.5918,10.1001,9.8682,9.6062,9.1572
82.514,10.6408,10.1393,9.8994,9.6366,9.1883
82.6449,10.6586,10.1536,9.9105,9.6472,9.199
82.7103,10.6675,10.1607,9.9183,9.6525,9.2044
82.8738,10.6899,10.1786,9.9371,9.6657,9.2178
82.9065,10.6944,10.1821,9.9409,9.6684,9.2205
83.2664,10.7451,10.2267,9.9815,9.6978,9.2497
83.3645,10.7592,10.2388,9.9925,9.7058,9.2593
83.4626,10.7733,10.2508,,9.7138,9.2687
83.6262,10.797,10.2709,,9.7272,9.2843
84.0187,10.8537,,,9.7593,9.3214
