REFRIGERANT,T_1_K,T_3_K,P_1,P_3,S_1,H_1,S_3,H_3,P_4,P_2,S_4,H_2_ISENTROPIC,H_4_ISENTROPIC,T_1,T_3
R134a,274.15,274.15,303560.704599,303560.704599,1004.88403327,201.344812471,1726.5367642,399.185908656,303560.704599,303560.704599,1726.5367642,201.344812471,399.185908656,1.0,1.0
R134a,274.15,275.15,303560.704599,314619.437547,1004.88403327,201.344812471,1726.00025542,399.766076619,303560.704599,314619.437547,1726.00025542,201.353375304,399.038824773,1.0,2.0
R134a,274.15,276.15,303560.704599,325984.931468,1004.88403327,201.344812471,1725.47584192,400.343901233,303560.704599,325984.931468,1725.47584192,201.362175463,398.895056812,1.0,3.0
R134a,274.15,277.15,303560.704599,337662.77759,1004.88403327,201.344812471,1724.96313504,400.919325263,303560.704599,337662.77759,1724.96313504,201.371217261,398.75449822,1.0,4.0
R134a,274.15,278.15,303560.704599,349658.607861,1004.88403327,201.344812471,1724.46174837,401.492290469,303560.704599,349658.607861,1724.46174837,201.38050504,398.617043067,1.0,5.0
R134a,274.15,279.15,303560.704599,361978.094755,1004.88403327,201.344812471,1723.97129758,402.062737549,303560.704599,361978.094755,1723.97129758,201.390043176,398.482585982,1.0,6.0
R134a,274.15,280.15,303560.704599,374626.951095,1004.88403327,201.344812471,1723.49140009,402.630606086,303560.704599,374626.951095,1723.49140009,201.399836071,398.351022086,1.0,7.0
R134a,274.15,281.15,303560.704599,387610.929908,1004.88403327,201.344812471,1723.0216749,403.195834483,303560.704599,387610.929908,1723.0216749,201.409888161,398.222246924,1.0,8.0
R134a,274.15,282.15,303560.704599,400935.824299,1004.88403327,201.344812471,1722.56174228,403.758359904,303560.704599,400935.824299,1722.56174228,201.420203909,398.096156397,1.0,9.0
R134a,274.15,283.15,303560.704599,414607.467363,1004.88403327,201.344812471,1722.11122357,404.318118207,303560.704599,414607.467363,1722.11122357,201.43078781,397.972646691,1.0,10.0
R134a,274.15,284.15,303560.704599,428631.732112,1004.88403327,201.344812471,1721.66974087,404.875043881,303560.704599,428631.732112,1721.66974087,201.441644388,397.851614209,1.0,11.0
R134a,274.15,285.15,303560.704599,443014.531448,1004.88403327,201.344812471,1721.23691682,405.429069967,303560.704599,443014.531448,1721.23691682,201.452778198,397.732955495,1.0,12.0
R134a,274.15,286.15,303560.704599,457761.81815,1004.88403327,201.344812471,1720.8123743,405.980127992,303560.704599,457761.81815,1720.8123743,201.464193822,397.616567165,1.0,13.0
R134a,274.15,287.15,303560.704599,472879.584911,1004.88403327,201.344812471,1720.39573619,406.52814789,303560.704599,472879.584911,1720.39573619,201.475895874,397.502345826,1.0,14.0
R134a,274.15,288.15,303560.704599,488373.864391,1004.88403327,201.344812471,1719.98662505,407.073057918,303560.704599,488373.864391,1719.98662505,201.487888998,397.390188006,1.0,15.0
R134a,274.15,289.15,303560.704599,504250.729321,1004.88403327,201.344812471,1719.58466285,407.614784576,303560.704599,504250.729321,1719.58466285,201.500177867,397.27999007,1.0,16.0
R134a,274.15,290.15,303560.704599,520516.29263,1004.88403327,201.344812471,1719.18947069,408.153252516,303560.704599,520516.29263,1719.18947069,201.512767182,397.17164814,1.0,17.0
R134a,274.15,291.15,303560.704599,537176.707623,1004.88403327,201.344812471,1718.80066848,408.688384453,303560.704599,537176.707623,1718.80066848,201.525661678,397.065058013,1.0,18.0
R134a,274.15,292.15,303560.704599,554238.168187,1004.88403327,201.344812471,1718.41787461,409.220101061,303560.704599,554238.168187,1718.41787461,201.538866117,396.960115074,1.0,19.0
R134a,274.15,293.15,303560.704599,571706.909044,1004.88403327,201.344812471,1718.04070566,409.748320879,303560.704599,571706.909044,1718.04070566,201.552385292,396.856714206,1.0,20.0
R134a,274.15,294.15,303560.704599,589589.206049,1004.88403327,201.344812471,1717.66877604,410.272960198,303560.704599,589589.206049,1717.66877604,201.566224027,396.754749701,1.0,21.0
R134a,274.15,295.15,303560.704599,607891.376526,1004.88403327,201.344812471,1717.30169766,410.793932952,303560.704599,607891.376526,1717.30169766,201.580387175,396.654115163,1.0,22.0
R134a,274.15,296.15,303560.704599,626619.779657,1004.88403327,201.344812471,1716.93907956,411.311150596,303560.704599,626619.779657,1716.93907956,201.594879622,396.55470341,1.0,23.0
R134a,274.15,297.15,303560.704599,645780.816919,1004.88403327,201.344812471,1716.58052752,411.824521984,303560.704599,645780.816919,1716.58052752,201.609706283,396.45640637,1.0,24.0
R134a,274.15,298.15,303560.704599,665380.932569,1004.88403327,201.344812471,1716.22564372,412.333953232,303560.704599,665380.932569,1716.22564372,201.624872108,396.359114975,1.0,25.0
R134a,274.15,299.15,303560.704599,685426.614182,1004.88403327,201.344812471,1715.87402627,412.839347585,303560.704599,685426.614182,1715.87402627,201.640382074,396.262719052,1.0,26.0
R134a,274.15,300.15,303560.704599,705924.393254,1004.88403327,201.344812471,1715.52526883,413.340605266,303560.704599,705924.393254,1715.52526883,201.656241194,396.1671072,1.0,27.0
R134a,274.15,301.15,303560.704599,726880.845848,1004.88403327,201.344812471,1715.17896015,413.837623319,303560.704599,726880.845848,1715.17896015,201.672454513,396.072166674,1.0,28.0
R134a,274.15,302.15,303560.704599,748302.593316,1004.88403327,201.344812471,1714.83468359,414.330295445,303560.704599,748302.593316,1714.83468359,201.689027109,395.977783256,1.0,29.0
R134a,274.15,303.15,303560.704599,770196.303077,1004.88403327,201.344812471,1714.49201665,414.818511828,303560.704599,770196.303077,1714.49201665,201.705964092,395.883841116,1.0,30.0
R134a,274.15,304.15,303560.704599,792568.689465,1004.88403327,201.344812471,1714.15053046,415.302158948,303560.704599,792568.689465,1714.15053046,201.723270609,395.790222675,1.0,31.0
R134a,274.15,305.15,303560.704599,815426.514648,1004.88403327,201.344812471,1713.80978918,415.781119382,303560.704599,815426.514648,1713.80978918,201.740951841,395.696808455,1.0,32.0
R134a,274.15,306.15,303560.704599,838776.589625,1004.88403327,201.344812471,1713.46934952,416.255271598,303560.704599,838776.589625,1713.46934952,201.759013006,395.60347692,1.0,33.0
R134a,274.15,307.15,303560.704599,862625.775293,1004.88403327,201.344812471,1713.12876003,416.724489726,303560.704599,862625.775293,1713.12876003,201.777459356,395.510104311,1.0,34.0
R134a,274.15,308.15,303560.704599,886980.983608,1004.88403327,201.344812471,1712.78756053,417.188643326,303560.704599,886980.983608,1712.78756053,201.796296182,395.416564469,1.0,35.0
R134a,274.15,309.15,303560.704599,911849.178828,1004.88403327,201.344812471,1712.44528141,417.647597127,303560.704599,911849.178828,1712.44528141,201.815528813,395.322728647,1.0,36.0
R134a,274.15,310.15,303560.704599,937237.378849,1004.88403327,201.344812471,1712.10144287,418.101210761,303560.704599,937237.378849,1712.10144287,201.835162618,395.228465312,1.0,37.0
R134a,274.15,311.15,303560.704599,963152.656639,1004.88403327,201.344812471,1711.7555542,418.54933847,303560.704599,963152.656639,1711.7555542,201.855203005,395.133639934,1.0,38.0
R134a,274.15,312.15,303560.704599,989602.141781,1004.88403327,201.344812471,1711.40711293,418.991828796,303560.704599,989602.141781,1711.40711293,201.875655425,395.03811476,1.0,39.0
R134a,274.15,313.15,303560.704599,1016593.02212,1004.88403327,201.344812471,1711.05560394,419.428524247,303560.704599,1016593.02212,1711.05560394,201.89652537,394.941748571,1.0,40.0
R134a,274.15,314.15,303560.704599,1044132.54554,1004.88403327,201.344812471,1710.70049856,419.859260941,303560.704599,1044132.54554,1710.70049856,201.917818378,394.844396429,1.0,41.0
R134a,274.15,315.15,303560.704599,1072228.02182,1004.88403327,201.344812471,1710.3412535,420.28386822,303560.704599,1072228.02182,1710.3412535,201.939540029,394.745909398,1.0,42.0
